13BFH1840,BT24-1,,,13BFH3640B,BT36B-1,,,BT36-2,,,24DB1218,2DB1228,3DB15TCD,4DB15TCD,13BODWR24,BLSH33WT,,,,,,,,
13BFH2140,BT15-2,,,BFH24B,BT24B-2,,,BT36-4,,,24DB1518,2DB1528,3DB18TCD,4DB18TCD,BOC24,BLSH36WT,,,,,,,,
13BFH2440,BT18-2,,,BFH27B,BT27B-2,,,BT39-4,,,24DB1818,2DB1828,3DB21TCD,4DB21TCD,BOC27,,,,,,,,,
BFH09,BT21-2,,,BFH30B,BT30B-2,,,BT42-4,,,24DB2118,2DB2128,3DB24TCD,4DB24TCD,BOC30,,,,,,,,,
BFH12,BT24-2,,,BFH33B,BT33B-2,,,BT45-4,,,24DB2418,2DB2428,B3D12,,BOC33,,,,,,,,,
BFH15,B12HSOS,,,BFH36B,BT36B-2,,,BT48-4,,,24DB2718,2DB2728,B3D15,,BOC36,,,,,,,,,
BFH18,B15HSOS,,,BFH2440B,B36BSMART,,,SB39TDT,,,24DB3018,2DB3028,B3D18,,27BOC24,,,,,,,,,
BFH21,B18HSOS,,,BFH2740B,B24BTCD,,,SB42TDT,,,24DB3318,2DB3328,B3D21,,27BOC27,,,,,,,,,
BFH24,B21HSOS,,,BFH3040B,SB30BTDT,,,SB39,,,24DB3618,2DB3628,B3D24,,27BOC30,,,,,,,,,
BFH0940,B24HSOS,,,BFH3340B,SB33BTDT,,,SB42,,,CD1D15,2DB1234,B3D27,,27BOC33,,,,,,,,,
BFH1240, B15TPP,,,BFH3640B,SB36BTDT,,,SB45,,,CD1D18,2DB1534,B3D30,,27BOC36,,,,,,,,,
BFH1540, B24TPP,,,13BFH30,SB24B,,,SB48,,,CD1D21,2DB1834,B3D33,,BOCFTS24,,,,,,,,,
BFH1840,B18SS,,,13BFH33,SB27B,,,DDCT30,,,CD1D24,2DB2134,B3D36,,BOCFTS27,,,,,,,,,
BFH2140,B21SS,,,13BFH36,SB30B,,,DDCT33,,,CD1D27,2DB2434,3DB24FF,,BOCFTS30,,,,,,,,,
BFH2440,B24SS,,,13BFH39,SB33B,,,DDCT36,,,CD1D30,2DB2734,3DB27FF,,BOCFTS33,,,,,,,,,
BFH12H2SOS,B15TCD,,,13BFH42,SB36B,,,,,,CD1D33,2DB3034,3DB30FF,,BOCFTS36,,,,,,,,,
BFH15H2SOS,B18TCD,,,13BFH45,SB30,,,,,,CD1D36,2DB3334,3DB33FF,,27BOCFTS24,,,,,,,,,
BFH18H2SOS,B21TCD,,,13BFH48,SB33,,,,,,CD1D39,2DB3634,3DB36FF,,27BOCFTS27,,,,,,,,,
BFH21H2SOS,B24TCD,,,13BFH3040,SB36,,,,,,CD1D42,2DB3034PEG,3DB39FF,,27BOCFTS30,,,,,,,,,
BFH24H2SOS,TDC12,,,13BFH3340,SB30BSM,,,,,,CD1D45,2DB3334PEG,3DBDDCT27,,27BOCFTS33,,,,,,,,,
BFH18MX,TDC15,,,13BFH3640,SB33BSM,,,,,,CD1D48,2DB3634PEG,3DBDDCT30,,27BOCFTS36,,,,,,,,,
BFH21MX,TDC18,,,13BFH3940,SB36BSM,,,,,,,CD2D12,3DBDDCT33,,BW24SD,,,,,,,,,
BFH24MX,PTDC12,,,13BFH4240,SB30BSMDORG,,,,,,,CD2D15,3DBDDCT36,,BW27SD,,,,,,,,,
TB09,PTDC15,,,13BFH4540,SB33BSMDORG,,,,,,,CD2D18,,,BW30SD,,,,,,,,,
BPS09,PTDC18,,,13BFH4840,SB36BSMDORG,,,,,,,CD2D21,,,BW33SD,,,,,,,,,
BPS12,SB18,,,BFH30,SBA30B,,,,,,,CD2D24,,,BW36SD,,,,,,,,,
BPS15,SB21,,,BFH33,SBA33B,,,,,,,CD2D27,,,27BW24SD,,,,,,,,,
BPSPT12,SB24,,,BFH36,SBA36B,,,,,,,CD2D30,,,27BW27SD,,,,,,,,,
BFHC09,B15WB,,,BFH39,SBA30,,,,,,,CD2D33,,,27BW30SD,,,,,,,,,
BFHC12,B18WB,,,BFH42,SBA33,,,,,,,CD2D36,,,27BW33SD,,,,,,,,,
BFHKC12,B18DWB,,,BFH45,SBA36,,,,,,,CD2D39,,,27BW36SD,,,,,,,,,
BFHKC15,B21WB,,,BFH48,RB30B,,,,,,,CD2D42,,,BW24MD,,,,,,,,,
BSCR03,B24DWBC,,,BFH3040,RB36B,,,,,,,CD2D45,,,BW27MD,,,,,,,,,
BSCR03,B18DWBCB,,,BFH3340,DDCT27B,,,,,,,CD2D48,,,BW30MD,,,,,,,,,
BFH15WB,,,,BFH3640,DDCT30B,,,,,,,,,,BW33MD,,,,,,,,,
BFH18WB,,,,BFH3940,DDCT33B,,,,,,,,,,BW36MD,,,,,,,,,
BFH21WB,,,,BFH4240,DDCT36B,,,,,,,,,,27BW24MD,,,,,,,,,
BFH24WBC,,,,BFH4540,,,,,,,,,,,27BW27MD,,,,,,,,,
BFH24WBCT,,,,BFH4840,,,,,,,,,,,27BW30MD,,,,,,,,,
,,,,BFH30PD,,,,,,,,,,,27BW33MD,,,,,,,,,
,,,,BFH33PD,,,,,,,,,,,27BW36MD,,,,,,,,,
,,,,BFH36PD,,,,,,,,,,,BW24LD,,,,,,,,,
,,,,BFH39PD,,,,,,,,,,,BW27LD,,,,,,,,,
,,,,BFH42PD,,,,,,,,,,,BW30LD,,,,,,,,,
,,,,,,,,,,,,,,,BW33LD,,,,,,,,,
,,,,,,,,,,,,,,,BW36LD,,,,,,,,,
,,,,,,,,,,,,,,,27BW24LD,,,,,,,,,
,,,,,,,,,,,,,,,27BW27LD,,,,,,,,,
,,,,,,,,,,,,,,,27BW30LD,,,,,,,,,
,,,,,,,,,,,,,,,27BW33LD,,,,,,,,,
,,,,,,,,,,,,,,,27BW36LD,,,,,,,,,
